Complexity,Loss,Equation
2,0.5062811,"sqrt(14154.536)"
3,0.48168045,"x0 ^ 0.35802034"
4,0.4591952,"sqrt(14154.536 - x1)"
5,0.30801243,"(x0 ^ 0.32108694) - -19.6764"
7,0.30177134,"sqrt(sqrt((x1 + x0) * 130.18468))"
8,0.18426317,"sqrt(sqrt(x1) * x0) * exp(-2.931739)"
10,0.089770734,"exp(-2.8807957) * sqrt(x0 * (sqrt(x1) + -1.0184107))"
11,0.0019858363,"(sqrt(x0 * (x1 ^ 0.6684425)) * sqrt(0.0011918298)) * 1.0098183"
13,0.0015108356,"(sqrt(x0 * ((x1 + 0.019468054) ^ 0.6684425)) * sqrt(0.0011918298)) * 1.0098183"
14,0.001203495,"1.0098183 * (sqrt(x0 * ((x1 + sqrt(0.0011918298)) ^ 0.6684425)) * sqrt(0.0011918298))"
16,0.0010408721,"1.0098183 * (sqrt((x0 - 1.6598474) * ((x1 + sqrt(0.0011918298)) ^ 0.6684425)) * sqrt(0.0011918298))"
18,0.0010407825,"1.0098183 * (sqrt(((x1 + sqrt(0.0011918298)) ^ 0.6684425) * (x0 - (0.6684425 - -0.87663513))) * sqrt(0.0011918298))"
19,0.0010407817,"(sqrt(((x1 + sqrt(0.0011918298)) ^ 0.6684425) * (x0 - sqrt(0.6684425 - -1.6979812))) * sqrt(0.0011918298)) * 1.0098183"
20,0.00070571364,"-0.015577629 + (sqrt(x0 * ((x1 ^ 0.6672523) / (sqrt(9.175988 ^ (0.7581629 + 1.0658634)) + 0.89946896))) * sqrt(0.010321715))"
